Galaxy,Type,Dist (million parsecs),M_BH,M_low (solar masses),M_high (solar masses),Method Ref.,sigma_e,sigma_dev,M0 V.T,M0 V.bulge,M0 V.bulge dev,R_infl/d_res,Samp.,Ratio_M/S,Ratio_M/sig^2,Ratio_Log(M)/sig,eq_right,Log_Mbh,sig_200,log_sigma-200
A1836-BCG,E,157.5,3900000000,3300000000,4300000000,Gas: 31,288,14,-23.31,-23.31,0.15,2.63,S,13541666,47019,33.302307663286456,8.785113346638727,9.5910646070265,1.4399928000359998,0.15836248992377724
A3565-BCG,E,54.4,520000000,440000000,600000000,Gas: 31,322,16,-23.27,-23.27,0.15,0.81,S,1614906,5015,27.06833336532547,8.988659559172449,8.7160033436348,1.6099919500402498,0.20682587386037732
N3379,E0,11.7,120000000,62000000,200000000,Stars: 16,206,10,-21.1,-21.1,0.03,2.18,S,582524,2827,39.219326437124394,8.173907223600402,8.079181246047625,1.0299948500257499,0.012837222533699809
N1399,E1,21.1,510000000,440000000,580000000,Stars: 10,337,16,-22.13,-22.13,0.1,1.82,S,1513353,4490,25.83848716943008,9.07171048170958,8.707570176097937,1.6849915750421247,0.226599903035885
N1399,E1,21.1,1300000000,640000000,1800000000,Stars: 11,337,16,-22.13,-22.13,0.1,3.02,S,3857566,11446,27.04434229171168,9.07171048170958,9.113943352306837,1.6849915750421247,0.226599903035885
N3607,E1,19.9,120000000,79000000,160000000,Stars: 17,229,11,-21.62,-21.62,0.1,2.12,RS,524017,2288,35.28026744998963,8.366973923877488,8.079181246047625,1.1449942750286248,0.05880548450443438
N3608,E1,23.0,210000000,140000000,320000000,Stars: 6,182,9,-21.05,-21.05,0.1,2.17,RS,1153846,6339,45.72647964139516,7.947964727587273,8.32221929473392,0.9099954500227498,-0.04095860985037882
N4374: M84,E1,17.0,1500000000,900000000,2600000000,Gas: 22,296,14,-22.45,-22.45,0.05,9.89,S,5067567,17120,31.000308307620546,8.835090084497502,9.176091259055681,1.4799926000369998,0.170261713223485
N4486: M87,E1,17.0,3600000000,2600000000,4600000000,Gas: 23,375,18,-22.92,-22.92,0.04,6.43,RS,9600000,25600,25.483473335379433,9.266596222506378,9.556302500767288,1.8749906250468746,0.27300126989226525
N6251,E1,106.0,600000000,400000000,800000000,Gas: 28,290,14,,,,0.52,S,2068965,7134,30.269487070288427,8.797736489225574,8.778151250383644,1.4499927500362497,0.1613680000635025
N0221: M32,E2,0.86,3100000,2500000,3700000,Stars: 4,75,3,-16.83,-16.83,0.05,12.2,RS,41333,551,86.55148925112364,6.330922204295099,6.491361693834273,0.37499812500937496,-0.42596873444375355
N2778,E2,24.2,16000000,5800000,25000000,Stars: 6,175,8,-19.62,-19.62,0.13,0.45,S,91428,522,41.166399900891,7.876424702532395,7.204119982655925,0.8749956250218749,-0.05799194914915913
N4261,E2,33.4,550000000,430000000,660000000,Gas: 20,315,15,-22.72,-22.72,0.06,0.76,RS,1746031,5542,27.74718314125157,8.948569223966281,8.740362689494244,1.5749921250393748,0.1972805559541469
N4291,E2,25.0,320000000,83000000,410000000,Stars: 6,242,12,-20.67,-20.67,0.13,1.41,RS,1322314,5464,35.14524784429714,8.46768943516777,8.505149978319906,1.20999395003025,0.08278536814497771
N4459,E2,17.0,74000000,60000000,88000000,Gas: 12,167,8,-21.06,-21.06,0.04,1.34,S,443113,2653,47.12114802234118,7.791074076869808,7.869231719730976,0.8349958250208749,-0.0783135266878703
N4486A,E2,17.0,13000000,9000000,18000000,Stars: 24,111,5,-18.7,-18.7,0.05,3.74,S,117117,1055,64.08957975051204,7.046021408953919,7.113943352306837,0.5549972250138749,-0.25570701904879617
N4649: M60,E2,16.5,2100000000,1500000000,2600000000,Stars: 6,385,19,-22.65,-22.65,0.05,10.2,RS,5454545,14167,24.21355660969849,9.314599961985662,9.32221929473392,1.9249903750481248,0.2844307316730471
N5077,E3,44.9,800000000,470000000,1300000000,Gas: 26,222,11,-22.04,-22.04,0.13,2.45,RS,3603603,16232,40.104008950414155,8.31034739074264,8.903089986991944,1.1099944500277499,0.04532297661518505
N5576,E3,27.1,180000000,140000000,210000000,Stars: 17,183,9,-21.26,-21.26,0.13,3.55,S,983606,5374,45.11077871641151,7.957959474917763,8.255272505103306,0.9149954250228749,-0.038578908105024144
N5845,E3,28.7,290000000,120000000,340000000,Stars: 6,234,11,-19.77,-19.77,0.13,1.65,S,1239316,5296,36.16409400811519,8.40637149917256,8.462397997898956,1.16999415002925,0.06818585957468927
N7052,E3,70.9,400000000,240000000,680000000,Gas: 29,266,13,,,,0.65,S,1503759,5653,32.33857139596978,8.64016777190044,8.602059991327963,1.3299933500332497,0.12385163879561337
IC1459,E4,30.9,2800000000,1600000000,3900000000,Stars: 2,340,17,-22.57,-22.57,0.15,0.56,S,8235294,24221,27.78575891571241,9.08787634962743,9.44715803134222,1.6999915000424997,0.23044891920680155
N0821,E4,25.5,42000000,34000000,70000000,Stars: 6,209,10,-21.24,-21.24,0.13,0.33,S,200956,961,36.47487698754976,8.200279299716385,7.623249290397901,1.0449947750261248,0.019116288275600368
N4473,E4,17.0,130000000,36000000,180000000,Stars: 6,190,9,-21.14,-21.14,0.04,2.11,RS,684210,3601,42.70496501214125,8.02643002205184,8.113943352306837,0.9499952500237498,-0.022276396882624644
N3377,E6,11.7,110000000,100000000,220000000,Stars: 6,145,7,-20.11,-20.11,0.1,4.49,RS,758620,5231,55.457880587298106,7.533410507436853,8.041392685158225,0.7249963750181249,-0.1396619956004787
N4697,E6,12.4,200000000,180000000,220000000,Stars: 6,177,8,-21.29,-21.29,0.11,4.63,RS,1129943,6383,46.8984745517739,7.897152616769547,8.301029995663981,0.8849955750221249,-0.05305673147364694
N3115,S0,10.2,960000000,670000000,1500000000,Stars: 14,230,11,-21.25,-21.18,0.05,13.1,S,4173913,18147,39.053353187128565,8.37492180932385,8.982271233039569,1.1499942500287499,0.06069783818213931
N3245,S0,22.1,220000000,170000000,270000000,Gas: 15,205,10,-20.96,,,1.01,RS,1073170,5234,40.69474478449857,8.165031114484126,8.342422680822207,1.0249948750256248,0.01072386322030066
N3585,S0,21.2,340000000,280000000,490000000,Stars: 17,213,10,-21.88,-21.8,0.2,6.69,RS,1596244,7494,40.053891629306364,8.234859232492656,8.531478917042255,1.0649946750266248,0.027349605603284092
N3998,S0,14.9,240000000,62000000,450000000,Gas: 18,305,15,-20.32,,,1.52,S,786885,2579,27.47610243184133,8.889724223306459,8.380211241711606,1.5249923750381247,0.18326984151133222
N4026,S0,15.6,210000000,170000000,280000000,Stars: 17,180,9,-20.28,-19.83,0.2,7.72,RS,1166666,6481,46.23455163741066,7.927809419483844,8.32221929473392,0.8999955000224998,-0.04575749273214755
N4342,S0,18.0,360000000,240000000,560000000,Stars: 21,225,11,-18.84,,,0.35,RS,1600000,7111,38.02801111452128,8.334831474117681,8.556302500767288,1.1249943750281248,0.051152520275908865
N4564,S0,17.0,69000000,59000000,73000000,Stars: 6,162,8,-20.1,-19.6,0.32,1.46,RS,425925,2629,48.387957350229975,7.735627959129008,7.838849090737256,0.8099959500202499,-0.09151498329282264
N7457,S0,14.0,4100000,2400000,5300000,Stars: 6,67,3,-19.8,-18.72,0.11,0.53,S,61194,913,98.698266518205,6.125179069393429,6.6127838567197355,0.33499832500837495,-0.4749551951346272
N5128.,S0/E,4.4,300000000,280000000,340000000,Stars: 27,150,7,-21.82,-21.82,0.08,42.4,S,2000000,13333,56.514141698131084,7.59524818608382,8.477121254719663,0.7499962500187499,-0.12493873877977235
N5128.,S0/E,4.4,70000000,32000000,83000000,Stars: 32,150,7,-21.82,-21.82,0.08,42.4,S,466666,3111,52.300653600095046,7.59524818608382,7.845098040014257,0.7499962500187499,-0.12493873877977235
N4258,SABbc,7.2,37800000,37700000,37900000,Maser: 19,115,10,-21.31,,,64.5,RS,328695,2858,65.89123304206282,7.1105958275351275,7.577491799837225,0.5749971250143749,-0.2403321574818419
N1300,SB(rs)bc,20.1,71000000,36000000,140000000,Gas: 9,218,10,-21.34,,,0.65,S,325688,1493,36.01494655375723,8.277182171189299,7.8512583487190755,1.0899945500272499,0.03742649576915125
N1023,SB0,12.1,46000000,41000000,51000000,Stars: 7,205,10,-21.26,-20.61,0.28,0.81,S,224390,1094,37.37930649600768,8.165031114484126,7.662757831681574,1.0249948750256248,0.01072386322030066
N2787.,SB0,7.9,43000000,38000000,47000000,Gas: 12,189,9,-18.9,,,1.09,RS,227513,1203,40.38872198719358,8.016804475577585,7.633468455579586,0.9449952750236249,-0.024568193662209466
N3384.,SB0,11.7,18000000,15000000,19000000,Stars: 6,143,7,-20.5,-19.93,0.22,0.6,S,125874,880,50.73617136435879,7.508076255403218,7.2552725051033065,0.7149964250178749,-0.14569396037039178
N4596,SB0,18.0,84000000,59000000,120000000,Gas: 12,136,6,-20.7,,,1.86,RS,617647,4541,58.26675945633737,7.416528313204872,7.924279286061882,0.6799966000169999,-0.1674910894652361
N3227.,SBa,17.0,15000000,7000000,20000000,Stars: 15,133,12,-20.73,,,0.52,S,112781,847,53.95557337635851,7.375841790111719,7.176091259055681,0.6649966750166248,-0.17717835686836783
N7582.,SBab,22.3,55000000,44000000,71000000,Gas: 30,156,19,-21.51,,,0.22,S,352564,2260,49.617709548040025,7.666788211138697,7.740362689494244,0.7799961000194999,-0.107905399480992
N4594,Sa,10.3,570000000,170000000,1100000000,Stars: 25,240,12,-22.52,-22.44,0.15,8.48,S,2375000,9895,36.48281189863538,8.452552113238704,8.755874855672491,1.1999940000299998,0.07918124387615245
Circinus.,Sb,4.0,1700000,1400000,2100000,Maser: 1,158,18,-17.36,,,6.06,S,10759,68,39.433221021381485,7.690024663258534,6.230448921378274,0.7899960500197499,-0.10237291088103097
N0224: M31,Sb,0.8,150000000,120000000,240000000,Stars: 5,160,8,-21.84,,,113.0,S,937500,5859,51.10057036909801,7.712968825204843,8.176091259055681,0.7999960000199999,-0.09691001517952881
N1068: M77,Sb,15.4,8600000,8300000,8900000,Maser: 8,151,7,-22.17,,,22.5,S,56953,377,45.92383080293753,7.60736807668127,6.9344984512435675,0.7549962250188749,-0.12205305054228416
N3031: M81,Sb,4.1,80000000,69000000,100000000,Gas: 13,143,7,-21.51,,,6.61,S,559440,3912,55.26636354539821,7.508076255403218,7.903089986991944,0.7149964250178749,-0.14569396037039178
MW.,Sbc,0.008,4100000,3500000,4700000,Stars: 3,105,20,,,,20622.0,S,39047,371,62.97889387352129,6.944659954143699,6.6127838567197355,0.5249973750131249,-0.27984069876551554
N2748,Sc,24.9,47000000,8600000,85000000,Gas: 9,115,5,-20.97,,,1.27,S,408695,3553,66.71389441683232,7.1105958275351275,7.672097857935717,0.5749971250143749,-0.2403321574818419
